Marca;Modelo;Comb;Faixa;Ano;Valor;Nome;;;
AUDI ;R8 5.2 V10 SPYDER;G;>100;2011; 431.300 ;R8;;;
VOLVO ;FH 500 8X2T;D;>100;2020; 430.206 ;FH;;;
VOLVO ;FH 500 6X4T;D;>100;2020; 428.565 ;FH;;;
VW ;MPOLO IDEALE R;D;>100;2021; 428.111 ;MPOLO;;;
BMW ;X6 XDRIVE40I;G;>100;2019; 424.904 ;X6;;;
VOLVO ;MPOLO PARADISO LD;D;>100;2015; 419.771 ;MPOLO;;;
AUDI ;R8 5.2 V10 FSI;G;>100;2012; 417.117 ;R8;;;
VW ;MASCA ROMA;D;>100;2021; 408.837 ;MASCA;;;
BMW ;X5 XDRIVE30D;D;>100;2020; 408.734 ;X5;;;
BMW ;M6 GRAN COUPE;G;>100;2017; 408.669 ;M6;;;
BMW ;745LE;G;>100;2019; 407.244 ;745LE;;;
VOLVO ;FH 540 6X4T;D;>100;2019; 406.047 ;FH;;;
VOLVO ;FH 540 6X4T;G;>100;2019; 406.047 ;FH;;;
VOLVO ;FH 500 6X2T;D;>100;2020; 405.382 ;FH;;;
BMW ;X5 XDRIVE45E;G;>100;2020; 403.785 ;X5;;;
BMW ;530E IPERFORMANCE;G;>100;2021; 402.559 ;530E;;;
AUDI ;RS4 AV 2.9TFSI;G;>100;2018; 402.399 ;RS4;;;
VOLVO ;XC90 D5 MOMENTUM;D;>100;2021; 399.305 ;XC90;;;
JAGUAR ;F TYPE 300RD CP;G;>100;2021; 398.211 ;F;;;
BMW ;X5 XDRIVE 50I ZV81;G;>100;2018; 398.142 ;X5;;;
BMW ;X5 XDRIVE 50I;G;>100;2018; 398.142 ;X5;;;
BMW ;X5 XDRIVE30D;D;>100;2019; 397.753 ;X5;;;
BMW ;X5 XDRIVE30D;D;>100;2019; 397.753 ;X5;;;
VOLVO ;FH 460 6X2T;D;>100;2020; 396.807 ;FH;;;
VOLVO ;FH 540 6X2T;D;>100;2020; 393.137 ;FH;;;
BMW ;X4 XDRIVE30I;G;>100;2021; 392.461 ;X4;;;
VOLVO ;FH 460 6X4T;D;>100;2019; 392.203 ;FH;;;
VOLVO ;FH 460 6X4T;G;>100;2019; 392.203 ;FH;;;
VOLVO ;FM 500 6X4T;D;>100;2019; 391.450 ;FM;;;
AUDI ;A8 LM 435CV;G;>100;2016; 391.214 ;A8;;;
VOLVO ;XC90 T8 MOMENTUM;G;>100;2021; 390.051 ;XC90;;;
AUDI ;R8 5.2 V10 FSI;G;>100;2011; 388.479 ;R8;;;
BMW ;X5 XDRIVE45E;G;>100;2019; 388.263 ;X5;;;
VW ;26.420 CTC 6X4;D;>100;2021; 387.170 ;26.420;;;
VOLVO ;FH 460 8X2T;D;>100;2020; 386.993 ;FH;;;
VOLVO ;MPOLO PARADISO DD;D;>100;2017; 386.746 ;MPOLO;;;
AUDI ;R8 5.2 V10 SPYDER;G;>100;2010; 386.215 ;R8;;;
VOLVO ;XC60 T8 POLESTAR;G;>100;2021; 384.444 ;XC60;;;
BMW ;X5 XDRIVE30D;G;>100;2019; 384.072 ;X5;;;
CHEVROLET ;CAMARO 2SS;G;>100;2021; 382.810 ;CAMARO;;;
BMW ;X6 M;G;>100;2017; 382.805 ;X6;;;
AUDI ;A6 LM 3.0TFSI;G;>100;2021; 382.022 ;A6;;;
AUDI ;RS6 AV 560CV;G;>100;2016; 381.923 ;RS6;;;
AUDI ;RS6 AV 4.0TFSI P;G;>100;2016; 381.923 ;RS6;;;
BMW ;M4 COUPE;G;>100;2019; 380.574 ;M4;;;
BMW ;X5 M50D;D;>100;2018; 378.869 ;X5;;;
VOLVO ;COMIL CAMPIONE DD;D;>100;2020; 378.781 ;COMIL;;;
VOLVO ;FH 540 6X4T SUSP;D;>100;2019; 377.854 ;FH;;;
VW ;COMIL CAMPIONE R;D;>100;2021; 377.563 ;COMIL;;;
VOLVO ;MASCA ROMA ON;D;>100;2021; 377.472 ;MASCA;;;
BMW ;X5 XDRIVE 50I;G;>100;2017; 376.751 ;X5;;;
BMW ;M340I XDRIVE;G;>100;2020; 375.558 ;M340I;;;
VOLVO ;FH 420 6X2T;D;>100;2020; 375.177 ;FH;;;
VOLVO ;COMIL CAMPIONE R;D;>100;2020; 374.417 ;COMIL;;;
VOLVO ;FH 460 8X2T;D;>100;2019; 373.951 ;FH;;;
VW ;25.420 CTC 6X2;D;>100;2021; 373.420 ;25.420;;;
VOLVO ;FH 460 4X2T;D;>100;2020; 372.879 ;FH;;;
VOLVO ;FH 540 6X2T;D;>100;2019; 372.419 ;FH;;;
BMW ;540I;G;>100;2020; 371.091 ;540I;;;
BMW ;Z4 SDRIVE30I;G;>100;2021; 370.561 ;Z4;;;
BMW ;520I;G;>100;2016; 370.115 ;520I;;;
VOLVO ;VM 330 8X4R;D;>100;2021; 368.711 ;VM;;;
AUDI ;R8 5.2 V10 FSI;G;>100;2010; 368.619 ;R8;;;
VOLVO ;MPOLO PARADISO DD;D;>100;2016; 368.330 ;MPOLO;;;
BMW ;X3 XDRIVE30E;G;>100;2021; 367.539 ;X3;;;
VOLVO ;FH 500 6X4T;D;>100;2019; 367.380 ;FH;;;
VOLVO ;MPOLO PARADISO LD;D;>100;2014; 367.292 ;MPOLO;;;
FORD ;MUSTANG GT;G;>100;2021; 365.216 ;MUSTANG;;;
VOLVO ;COMIL CAMPIONE R;G;>100;2019; 363.716 ;COMIL;;;
VOLVO ;COMIL CAMPIONE DD;D;>100;2019; 363.427 ;COMIL;;;
VOLVO ;VM 330 8X2R;D;>100;2021; 363.415 ;VM;;;
VOLVO ;FH 500 6X2T;D;>100;2019; 363.398 ;FH;;;
VW ;31.330 CRC 6X4;D;>100;2021; 362.072 ;31.330;;;
VOLVO ;FH 500 8X2T;D;>100;2019; 361.297 ;FH;;;
VOLVO ;COMIL CAMPIONE R;D;>100;2019; 361.191 ;COMIL;;;
VOLVO ;MPOLO PARADISO R;D;>100;2020; 358.832 ;MPOLO;;;
JEEP ;WRANGLER UNL RUBI;G;>100;2020; 358.817 ;WRANGLER;;;
BMW ;X4 M40I;G;>100;2020; 357.977 ;X4;;;
VOLVO ;VM 270 8X4R;D;>100;2021; 357.299 ;VM;;;
AUDI ;TTRS CP 2.5TFSI;G;>100;2018; 356.456 ;TTRS;;;
VOLVO ;FH 540 6X4T;G;>100;2018; 356.359 ;FH;;;
DODGE ;VIPER SRT 10;G;>100;2013; 356.308 ;VIPER;;;
BMW ;X6 XDRIVE 35I;G;>100;2019; 356.283 ;X6;;;
BMW ;X3 M40I;G;>100;2020; 356.110 ;X3;;;
VOLVO ;VM 330 6X4R;D;>100;2021; 355.741 ;VM;;;
VW ;30.330 CRC 8X2;D;>100;2021; 355.741 ;30.330;;;
BMW ;X4 M40I;G;>100;2019; 355.669 ;X4;;;
AUDI ;A8 LM 435CV;G;>100;2015; 355.522 ;A8;;;
VOLVO ;FM 420 6X4R;D;>100;2019; 355.521 ;FM;;;
BMW ;X3 XDRIVE30I;G;>100;2021; 355.159 ;X3;;;
AUDI ;Q7 3.0TDI;D;>100;2019; 354.649 ;Q7;;;
BMW ;M2 COMPETITION;G;>100;2020; 354.620 ;M2;;;
VW ;25.360 CTC 6X2;D;>100;2021; 354.381 ;25.360;;;
VOLVO ;XC90 D5 INSCRIPT;D;>100;2020; 354.355 ;XC90;;;
VOLVO ;FH 460 6X2T;D;>100;2019; 352.984 ;FH;;;
BMW ;X4 M40I;G;>100;2019; 352.093 ;X4;;;
VOLVO ;COMIL CAMPIONE LD;D;>100;2021; 351.788 ;COMIL;;;
VOLVO ;XC90 T8 R DESIGN;G;>100;2020; 351.718 ;XC90;;;
BMW ;M4 COUPE;G;>100;2018; 350.312 ;M4;;;
VOLVO ;FH 460 4X2T;D;>100;2019; 350.182 ;FH;;;
BMW ;Z4 M40I;G;>100;2020; 349.599 ;Z4;;;
VOLVO ;MPOLO USATEC UM.ON;D;>100;2016; 349.561 ;MPOLO;;;
BMW ;M4 CABRIO;G;>100;2016; 349.065 ;M4;;;
VOLVO ;MPOLO PARADISO R;D;>100;2019; 348.897 ;MPOLO;;;
VOLVO ;FH 540 6X4T SUSP;D;>100;2018; 348.020 ;FH;;;
VOLVO ;FH 460 6X2T;G;>100;2019; 347.689 ;FH;;;
VOLVO ;XC60 T8 R DESIGN;G;>100;2021; 347.095 ;XC60;;;
CHEV ;CAMARO 2SS CONV;G;>100;2020; 347.019 ;CAMARO;;;
VOLVO ;FH 420 6X2T;D;>100;2019; 346.924 ;FH;;;
VOLVO ;FH 500 6X4T;D;>100;2018; 346.655 ;FH;;;
VOLVO ;FH 420 4X2T;D;>100;2020; 346.371 ;FH;;;
VOLVO ;COMIL CAMPIONE DD;D;>100;2018; 346.122 ;COMIL;;;
VOLVO ;XC90 T8 INSCRIPT;G;>100;2020; 345.927 ;XC90;;;
AUDI ;RS6 AV 560CV;G;>100;2015; 344.721 ;RS6;;;
VOLVO ;MPOLO PARADISO DD;D;>100;2015; 344.682 ;MPOLO;;;
VOLVO ;FH 540 6X4T;D;>100;2018; 344.247 ;FH;;;
NISSAN ;GT R PREMIUM;G;>100;2015; 344.207 ;GT;;;
VOLVO ;COMIL CAMPIONE R;D;>100;2018; 343.992 ;COMIL;;;
VOLVO ;XC90 T8 R DESIGN;G;>100;2019; 343.479 ;XC90;;;
VOLVO ;FH 460 6X4T;D;>100;2018; 343.353 ;FH;;;
VOLVO ;XC60 T8 INSCRIPT;G;>100;2021; 343.294 ;XC60;;;
BMW ;X6 M;G;>100;2016; 342.959 ;X6;;;
VOLVO ;MPOLO USATEC UM.ON;D;>100;2015; 341.866 ;MPOLO;;;
BMW ;M340I XDRIVE;G;>100;2019; 341.664 ;M340I;;;
AUDI ;R8 4.2 FSI;G;>100;2012; 340.886 ;R8;;;
BMW ;M3 SEDAN;G;>100;2018; 340.691 ;M3;;;
VOLVO ;FM 380 6X2T;D;>100;2019; 340.119 ;FM;;;
VOLVO ;XC90 T8 R DESIGN;G;>100;2018; 339.546 ;XC90;;;
BMW ;X2 M35I;G;>100;2021; 339.256 ;X2;;;
VW ;COMIL VERSATILE R;D;>100;2021; 339.160 ;COMIL;;;
VOLVO ;XC90 T8 INSCRIPT;G;>100;2019; 338.786 ;XC90;;;
VOLVO ;VM 270 8X2R;D;>100;2021; 338.666 ;VM;;;
BMW ;M6 GRAN COUPE;G;>100;2016; 337.915 ;M6;;;
VOLVO ;VM330 6X2R;D;>100;2021; 337.714 ;VM330;;;
VOLVO ;FM 500 6X4T;D;>100;2018; 337.390 ;FM;;;
VOLVO ;XC90 T6 MOMENTUM;G;>100;2021; 336.961 ;XC90;;;
BMW ;M4 COUPE;G;>100;2016; 336.159 ;M4;;;
FORD ;EDGE ST GTDI;G;>100;2021; 335.829 ;EDGE;;;
VW ;31.280 CRM 6X4;D;>100;2021; 335.535 ;31.280;;;
BMW ;540I;G;>100;2019; 335.285 ;540I;;;
AUDI ;TTRS CP 2.5TFSI;G;>100;2017; 335.199 ;TTRS;;;
AUDI ;Q7 3.0TFSI;G;>100;2019; 335.114 ;Q7;;;
VOLVO ;VM 270 6X4R;D;>100;2021; 334.517 ;VM;;;
VOLVO ;FM 420 6X4R;D;>100;2018; 334.416 ;FM;;;
VW ;19.420 CTC 4X2;D;>100;2021; 333.303 ;19.420;;;
AUDI ;A8 LM 435CV;G;>100;2014; 332.925 ;A8;;;
VOLVO ;FH 420 4X2T;D;>100;2019; 332.493 ;FH;;;
VOLVO ;MPOLO PARADISO R;D;>100;2018; 332.283 ;MPOLO;;;
BMW ;X4 M40I;G;>100;2018; 331.294 ;X4;;;
VOLVO ;FH 460 8X2T;D;>100;2018; 330.966 ;FH;;;
AUDI ;RS7 560CV;G;>100;2014; 330.843 ;RS7;;;
KIA ;G CARNIVAL EX 3.3;G;>100;2021; 330.266 ;G;;;
VOLVO ;FH 500 8X2T;D;>100;2018; 329.797 ;FH;;;
VW ;26.280 CRM 6X4;D;>100;2021; 329.443 ;26.280;;;
VW ;MPOLO IDEALE R;D;>100;2020; 329.316 ;MPOLO;;;
VW ;24.330 CRC 6X2;D;>100;2021; 329.047 ;24.330;;;
BMW ;Z4 M40I;G;>100;2019; 328.798 ;Z4;;;
VW ;30.280 CRM 8X2;D;>100;2021; 328.303 ;30.280;;;
BMW ;X3 M40I;G;>100;2019; 327.226 ;X3;;;
BMW ;X3 M40I;G;>100;2019; 327.226 ;X3;;;
VOLVO ;XC90 T8 INSCRIPT;G;>100;2018; 326.668 ;XC90;;;
BMW ;430I CABRIO;G;>100;2021; 326.487 ;430I;;;
CHEVROLET ;CORVETTE S C;G;>100;2014; 326.180 ;CORVETTE;;;
VOLVO ;FM 460 6X4T;D;>100;2019; 325.980 ;FM;;;
CHEVROLET ;CORVETTE 1LT;G;>100;2018; 324.424 ;CORVETTE;;;
VOLVO ;FH 460 8X2T;D;>100;2017; 324.306 ;FH;;;
VOLVO ;FH 540 6X4T;D;>100;2017; 323.843 ;FH;;;
VOLVO ;FH 500 6X2T;D;>100;2018; 323.490 ;FH;;;
VOLVO ;MPOLO PARADISO LD;D;>100;2013; 323.415 ;MPOLO;;;
VOLVO ;XC90 D5 INSCRIPT;D;>100;2019; 323.057 ;XC90;;;
VOLVO ;COMIL CAMPIONE R;D;>100;2017; 322.997 ;COMIL;;;
VOLVO ;FH 420 6X2T;D;>100;2018; 320.767 ;FH;;;
BMW ;X5 M GREY EDITION;G;>100;2016; 320.451 ;X5;;;
VOLVO ;FH 540 6X2T;D;>100;2018; 320.183 ;FH;;;
CHEV ;CAMARO 2SS CONV;G;>100;2019; 319.876 ;CAMARO;;;
VOLVO ;IRIZAR PB R;D;>100;2019; 319.851 ;IRIZAR;;;
GM ;SILVERADO 2500 HD;D;>100;2017; 319.696 ;SILVERADO;;;
VOLVO ;FH 540 6X4T SUSP;D;>100;2017; 319.470 ;FH;;;
AUDI ;Q7 3.0TDI;D;>100;2018; 319.160 ;Q7;;;
JAGUAR ;F TYPE S CABRIO;G;>100;2016; 318.713 ;F;;;
VW ;24.330 CRC 6X2 VTR;D;>100;2021; 317.871 ;24.330;;;
VW ;24.280 ITURRI BOMB;D;>100;2021; 316.407 ;24.280;;;
VOLVO ;FH 460 4X2T;D;>100;2018; 316.321 ;FH;;;
VOLVO ;FH 500 6X4T;D;>100;2017; 315.992 ;FH;;;
VOLVO ;FM 460 6X4T;D;>100;2018; 315.108 ;FM;;;
VW ;MASCA ROMA;D;>100;2020; 314.490 ;MASCA;;;
VW ;MPOLO IDEALE R;D;>100;2019; 314.105 ;MPOLO;;;
JAGUAR ;XFRS 5.0 V8 SC;G;>100;2014; 313.772 ;XFRS;;;
VOLVO ;FH 460 6X2T;D;>100;2018; 313.756 ;FH;;;
TOYOTA ;HILUX SWDMDA4JD;D;>100;2021; 312.441 ;HILUX;;;
JAGUAR ;XJ SCSUPERSPORT;G;>100;2014; 312.090 ;XJ;;;
VW ;MPOLO PARADISO R;D;>100;2019; 311.881 ;MPOLO;;;
VW ;MASCA ROMA 350R O;D;>100;2018; 311.718 ;MASCA;;;
NISSAN ;GT R PREMIUM;G;>100;2014; 310.339 ;GT;;;
BMW ;M6 GRAN COUPE;G;>100;2015; 310.308 ;M6;;;
VOLVO ;MPOLO PARADISO DD;D;>100;2014; 310.272 ;MPOLO;;;
VOLVO ;MPOLO PARADISO LD;D;>100;2012; 310.167 ;MPOLO;;;
VOLVO ;XC60 D5 MOMENTUM;D;>100;2021; 309.839 ;XC60;;;
VOLVO ;VM 330 4X2T;D;>100;2021; 309.813 ;VM;;;
BMW ;530E IPERFORMANCE;G;>100;2020; 309.661 ;530E;;;
VOLVO ;B9R INDUST SUP.ON;D;>100;2012; 309.461 ;B9R;;;
AUDI ;Q7 3.0TFSI;G;>100;2018; 308.753 ;Q7;;;
VOLVO ;COMIL CAMPIONE R;D;>100;2016; 307.616 ;COMIL;;;
VOLVO ;XC90 D5 MOMENTUM;D;>100;2020; 307.158 ;XC90;;;
VW ;19.360 CTC 4X2;D;>100;2021; 306.730 ;19.360;;;
BMW ;330E;G;>100;2021; 306.666 ;330E;;;
VOLVO ;IRIZAR PB R;D;>100;2018; 306.645 ;IRIZAR;;;
JAGUAR ;F TYPE 300RD CP;G;>100;2020; 306.316 ;F;;;
BMW ;M2 COMPETITION;G;>100;2019; 305.461 ;M2;;;
VW ;19.330 CTC 4X2;D;>100;2021; 304.660 ;19.330;;;
TOYOTA ;TUNDRA CREWMAX;G;>100;2017; 304.487 ;TUNDRA;;;
BMW ;X3 XDRIVE20I;G;>100;2021; 304.221 ;X3;;;
BMW ;X3 XDRIVE20I;G;>100;2021; 304.221 ;X3;;;
VOLVO ;COMIL CAMPIONE DD;D;>100;2017; 303.932 ;COMIL;;;
VOLVO ;FH 540 6X4T;D;>100;2016; 303.412 ;FH;;;
BMW ;X6 XDRIVE 35I;G;>100;2018; 302.713 ;X6;;;
VOLVO ;VM 270 6X2R;D;>100;2021; 302.346 ;VM;;;
BMW ;M3 SEDAN;G;>100;2017; 302.101 ;M3;;;
BMW ;X4 XDRIVE30I;G;>100;2020; 301.893 ;X4;;;
VOLVO ;XC60 T8 MOMENTUM;G;>100;2021; 301.861 ;XC60;;;
VW ;NEOBUS ROAD R;D;>100;2017; 301.622 ;NEOBUS;;;
AUDI ;A7 SPB 333CV;G;>100;2018; 301.566 ;A7;;;
JAGUAR ;F TYPE SCOUPE;G;>100;2017; 301.238 ;F;;;
VOLVO ;XC90 D5 MOMENTUM;D;>100;2019; 300.335 ;XC90;;;
AUDI ;R8 5.2 V10 FSI;G;>100;2009; 300.097 ;R8;;;
VOLVO ;XC90 T8 MOMENTUM;G;>100;2020; 300.039 ;XC90;;;
AUDI ;RS6 AVANT 4.0TFSI;G;>100;2014; 299.969 ;RS6;;;
VOLVO ;FH 460 6X4T;D;>100;2017; 299.729 ;FH;;;
VOLVO ;FM 500 6X4T;D;>100;2017; 299.403 ;FM;;;
VOLVO ;MPOLO PARADISO R;D;>100;2017; 299.354 ;MPOLO;;;
VW ;MPOLO IDEALE R;D;>100;2018; 299.148 ;MPOLO;;;
VOLVO ;FH 500 6X4T;D;>100;2016; 298.740 ;FH;;;
JAGUAR ;F TYPE 300RD CP;G;>100;2019; 298.099 ;F;;;
BMW ;330I;G;>100;2021; 297.991 ;330I;;;
VW ;26.420 CTC 6X4;D;>100;2020; 297.823 ;26.420;;;
VOLVO ;BUSSCAR PANORAMI R;D;>100;2012; 297.775 ;BUSSCAR;;;
BMW ;M2 COMPETITION;G;>100;2018; 297.546 ;M2;;;
VOLVO ;MPOLO PARADISO LD;D;>100;2011; 297.357 ;MPOLO;;;
VW ;24.280 CRM 6X2;D;>100;2021; 297.288 ;24.280;;;
VW ;24.280 CRM 6X2 4P;D;>100;2021; 297.288 ;24.280;;;
VOLVO ;MPOLO PARADISO R;D;>100;2016; 296.403 ;MPOLO;;;
VOLVO ;XC60 T8 POLESTAR;G;>100;2020; 295.726 ;XC60;;;
CHEVROLET ;CORVETTE Z51;G;>100;2016; 295.716 ;CORVETTE;;;
JAGUAR ;F TYPE S CABRIO;G;>100;2015; 295.546 ;F;;;
VW ;MASCA ROMA;D;>100;2019; 295.111 ;MASCA;;;
VOLVO ;IRIZAR PB R;D;>100;2017; 295.062 ;IRIZAR;;;
VOLVO ;FH 460 6X4T;D;>100;2016; 294.806 ;FH;;;
CHEVROLET ;CAMARO 2SS;G;>100;2020; 294.469 ;CAMARO;;;
JAGUAR ;XFR 5.0 V8 SC;G;>100;2015; 294.242 ;XFR;;;
VOLVO ;FM 420 6X4R;D;>100;2017; 293.953 ;FM;;;
AUDI ;A6 LM 3.0TFSI;G;>100;2020; 293.863 ;A6;;;
VW ;MPOLO VIAGGIO R;D;>100;2021; 293.606 ;MPOLO;;;
VOLVO ;B9R INDUST SUP.ON;D;>100;2011; 293.411 ;B9R;;;
TOYOTA ;HILUX SWSRXA4FD;D;>100;2021; 293.274 ;HILUX;;;
VOLVO ;COMIL CAMPIONE R;D;>100;2015; 292.969 ;COMIL;;;
VOLVO ;VM 270 4X2R;D;>100;2021; 292.824 ;VM;;;
VOLVO ;XC60 2.0 T5 MOM;G;>100;2021; 291.368 ;XC60;;;
VW ;18.320 EOT IRIZAR PB;D;>100;2018; 291.086 ;18.320;;;
VOLVO ;FH 420 4X2T;D;>100;2018; 290.883 ;FH;;;
VW ;COMIL CAMPIONE R;D;>100;2020; 290.433 ;COMIL;;;
VW ;MPOLO PARADISO R;D;>100;2018; 290.426 ;MPOLO;;;
CHEVROLET ;CORVETTE Z51;G;>100;2015; 290.425 ;CORVETTE;;;
VOLVO ;MASCA ROMA ON;D;>100;2020; 290.363 ;MASCA;;;
JAGUAR ;F TYPE SCOUPE;G;>100;2016; 289.654 ;F;;;
VOLVO ;COMIL CAMPIONE DD;D;>100;2016; 289.458 ;COMIL;;;
VOLVO ;XC90 T8 INSCRIPT;G;>100;2017; 289.069 ;XC90;;;
VOLVO ;XC90 T8 MOMENTUM;G;>100;2019; 288.939 ;XC90;;;
BMW ;X5 XDRIVE30D;D;>100;2018; 288.797 ;X5;;;
VOLVO ;FM 380 6X2T;D;>100;2018; 288.695 ;FM;;;
VOLVO ;XC90 D5 INSCRIPT;D;>100;2018; 288.153 ;XC90;;;
AUDI ;A6 3.0TFSI;G;>100;2019; 288.018 ;A6;;;
VW ;MASCA VIAMIDI 17230 O;D;>100;2021; 287.932 ;MASCA;;;
VW ;MPOLO SENIOR FR;D;>100;2021; 287.881 ;MPOLO;;;
VW ;MASCA GRANVIA E O;D;>100;2021; 287.881 ;MASCA;;;
BMW ;X3 M40I;G;>100;2018; 287.600 ;X3;;;
BMW ;X3 M40I;G;>100;2018; 287.600 ;X3;;;
BMW ;X5 XDRIVE35I;G;>100;2018; 287.531 ;X5;;;
JEEP ;GCHEROKEE LTD CRD;D;>100;2019; 287.340 ;GCHEROKEE;;;
VW ;NEOBUS ROAD R;D;>100;2016; 287.259 ;NEOBUS;;;
VW ;25.420 CTC 6X2;D;>100;2020; 287.246 ;25.420;;;
